"","X","BOROUGH","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","TAX.CLASS.AT.PRESENT","BLOCK","LOT","EASE.MENT","BUILDING.CLASS.AT.PRESENT","ADDRESS","APARTMENT.NUMBER","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE","PRICE.SQUARE.FEET","BOROUGHNAME","location","ID","lon","lat"
"2327","17640","3","OCEAN HILL","03 THREE FAMILY DWELLINGS                  ","1","1464","78","NA","C0","1833 PARK PLACE"," ","11233","3","0","3","1912","2955","1899","1","C0","480000","2016-09-28","162.43654822335","Brooklyn","1833 PARK PLACE, Brooklyn, 11233 - New York","3983","-73.916537","40.67179"
"2328","17646","3","OCEAN HILL","03 THREE FAMILY DWELLINGS                  ","1","1468","28","NA","C0","1557 EASTERN PARKWAY"," ","11233","3","0","3","1600","2610","1920","1","C0","625000","2016-09-30","239.463601532567","Brooklyn","1557 EASTERN PARKWAY, Brooklyn, 11233 - New York","3984","-73.9164489","40.6711828"
"2329","17654","3","OCEAN HILL","03 THREE FAMILY DWELLINGS                  ","1","1481","31","NA","C0","854 MONROE STREET"," ","11221","3","0","3","2000","3225","2006","1","C0","291000","2016-12-22","90.2325581395349","Brooklyn","854 MONROE STREET, Brooklyn, 11221 - New York","3985","-73.9219035","40.6887614"
"2330","17658","3","OCEAN HILL","03 THREE FAMILY DWELLINGS                  ","1","1485","64","NA","C0","907 JEFFERSON AVENUE"," ","11221","3","0","3","1950","3219","1899","1","C0","715000","2016-09-21","222.118670394532","Brooklyn","907 JEFFERSON AVENUE, Brooklyn, 11221 - New York","3986","-73.92228","40.686697"
"2331","17660","3","OCEAN HILL","03 THREE FAMILY DWELLINGS                  ","1","1487","40","NA","C0","62 HOWARD AVENUE"," ","11221","3","0","3","1500","2700","1901","1","C0","1070000","2016-09-21","396.296296296296","Brooklyn","62 HOWARD AVENUE, Brooklyn, 11221 - New York","3987","-73.920942","40.686365"
"2332","17671","3","OCEAN HILL","03 THREE FAMILY DWELLINGS                  ","1","1503","23","NA","C0","1660 BROADWAY"," ","11207","3","0","3","1897","2700","2007","1","C0","993000","2016-09-20","367.777777777778","Brooklyn","1660 BROADWAY, Brooklyn, 11207 - New York","3989","-73.913379","40.684252"
"2333","17673","3","OCEAN HILL","03 THREE FAMILY DWELLINGS                  ","1","1505","35","NA","C0","634 DECATUR STREET"," ","11233","3","0","3","1950","2925","1899","1","C0","1735000","2016-12-19","593.162393162393","Brooklyn","634 DECATUR STREET, Brooklyn, 11233 - New York","3990","-73.917449","40.683023"
"2334","17691","3","OCEAN HILL","03 THREE FAMILY DWELLINGS                  ","1","1522","28","NA","C0","490 MARION STREET"," ","11233","3","0","3","2000","2700","1899","1","C0","997600","2016-10-13","369.481481481481","Brooklyn","490 MARION STREET, Brooklyn, 11233 - New York","3992","-73.9098182","40.6819085"
"2335","17698","3","OCEAN HILL","03 THREE FAMILY DWELLINGS                  ","1","1527","55","NA","C0","215 MACDOUGAL STREET","6","11233","3","0","3","2500","3900","2006","1","C0","586000","2016-11-02","150.25641025641","Brooklyn","215 MACDOUGAL STREET, Brooklyn, 11233 - New York","3993","-73.91259","40.680311"
"2336","17723","3","OCEAN HILL","03 THREE FAMILY DWELLINGS                  ","1","1566","22","NA","C0","1250 HERKIMER STREET"," ","11233","3","0","3","1653","2565","1901","1","C0","999500","2016-12-09","389.668615984405","Brooklyn","1250 HERKIMER STREET, Brooklyn, 11233 - New York","3996","-73.912113","40.677363"
"2337","17742","3","OCEAN HILL","07 RENTALS - WALKUP APARTMENTS             ","2B","1442","21","NA","C1","2240 PACIFIC STREET","6","11233","8","0","8","2411","5280","1910","2","C1","1200000","2016-12-07","227.272727272727","Brooklyn","2240 PACIFIC STREET, Brooklyn, 11233 - New York","3997","-73.909985","40.675217"
"2338","17745","3","OCEAN HILL","07 RENTALS - WALKUP APARTMENTS             ","2A","1475","11","NA","C2","1399 EASTERN PARKWAY"," ","11233","5","0","5","3020","3360","1910","2","C2","700000","2016-12-21","208.333333333333","Brooklyn","1399 EASTERN PARKWAY, Brooklyn, 11233 - New York","3999","-73.921793","40.6689949"
"2339","17767","3","OCEAN HILL","07 RENTALS - WALKUP APARTMENTS             ","1","1534","64","NA","B1","163 HULL STREET"," ","11233","2","0","2","1500","1575","1899","2","C3","1070000","2016-12-27","679.365079365079","Brooklyn","163 HULL STREET, Brooklyn, 11233 - New York","4000","-73.9103705","40.6797378"
"2340","17794","3","OCEAN HILL","14 RENTALS - 4-10 UNIT                     ","2A","1520","46","NA","S9","116 THOMAS S BOYLAND ST"," ","11233","3","3","6","1800","4040","1931","2","S9","1210000","2016-11-08","299.50495049505","Brooklyn","116 THOMAS S BOYLAND ST, Brooklyn, 11233 - New York","4004","-73.9142086","40.6808675"
"2341","17807","3","OCEAN HILL","21 OFFICE BUILDINGS                        ","4","1561","36","NA","O5","264 SARATOGA AVENUE"," ","11233","0","1","1","1950","3600","1901","4","O5","740500","2016-09-14","205.694444444444","Brooklyn","264 SARATOGA AVENUE, Brooklyn, 11233 - New York","4005","-73.9164352","40.6769"
"2342","17833","3","OCEAN HILL","37 RELIGIOUS FACILITIES                    ","4","1552","59","NA","M1","1325 HERKIMER STREET"," ","11233","0","1","1","10000","12000","1910","4","M1","4200000","2016-11-03","350","Brooklyn","1325 HERKIMER STREET, Brooklyn, 11233 - New York","4006","-73.9093883","40.6776465"
"2343","17856","3","OCEAN PARKWAY-NORTH","01 ONE FAMILY DWELLINGS                    ","1","5420","35","NA","A5","182 WEBSTER AVENUE"," ","11230","1","0","1","2072","1187","1910","1","A5","780500","2016-12-29","657.5400168492","Brooklyn","182 WEBSTER AVENUE, Brooklyn, 11230 - New York","4011","-73.97363","40.631205"
"2344","17886","3","OCEAN PARKWAY-NORTH","01 ONE FAMILY DWELLINGS                    ","1","6519","79","NA","A3","921 OCEAN PARKWAY"," ","11230","1","0","1","6000","4360","1935","1","A3","3100000","2016-11-01","711.009174311927","Brooklyn","921 OCEAN PARKWAY, Brooklyn, 11230 - New York","4018","-73.9701923","40.6261162"
"2345","17900","3","OCEAN PARKWAY-NORTH","01 ONE FAMILY DWELLINGS                    ","1","6528","23","NA","A1","1056 EAST 8TH   STREET"," ","11230","1","0","1","4820","2315","1920","1","A1","3000000","2016-10-06","1295.89632829374","Brooklyn","1056 EAST 8TH   STREET, Brooklyn, 11230 - New York","4019","-73.9678349","40.6234564"
"2346","17915","3","OCEAN PARKWAY-NORTH","01 ONE FAMILY DWELLINGS                    ","1","6545","52","NA","A9","1285 EAST 9TH   STREET"," ","11230","1","0","1","2000","1328","1925","1","A9","940000","2016-09-12","707.831325301205","Brooklyn","1285 EAST 9TH   STREET, Brooklyn, 11230 - New York","4024","-73.9658061","40.6177255"
